,comment,date
676,"Photo by @gyunss_ on June 18, 2020. 이미지: 음식.","June 18, 2020"
677,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 27, 2020. 이미지: 사람 1명, 문구: 'Song Joong Ki Purchases Luxury $2.88 Million Apartment In Honolulu, Hawaii He has a new vacation home. (토) tvN 9시'.","March 27, 2020"
678,"Photo by ʟᴇᴇ, ʏᴏᴜ-ɪʟ  ᴀ.ᴋ.ᴀ ᴇʀɪᴇ on August 06, 2020. 이미지: 스포츠를 하는 사람들, 야구.","August 06, 2020"
679,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on June 08, 2020 tagging @kimokvin, @netflix, @salt_ent, @netflixkr, @geewonii, @tvndrama.official, and @historydnc. 이미지: 사람 9명, 서 있는 사람들.","June 08, 2020"
680,"{ NEW }
20200325 - Chae Seo Jin (Kim Ok Vin’s sister) Instagram update with Kim Ok Vin.
.
I love this video! 🤣 We miss queen Taealha! Thank you for update @ko_woon_ ♥️",
681,"Photo by 꽁마미🍂 on September 09, 2020. 이미지: 사람 1명, 어린이, 근접 촬영.","September 09, 2020"
682,"Photo shared by ︎︎ on June 01, 2020 tagging @jongsuk0206, @ohdaewhan, and @park_hee_soon. 이미지: 사람 4명, 문구: '누구도 건드릴 수 없는 놈이 북에서 북에서 넘어왔다 어왔다 <신세계> 박훈정 감독 작품 장동건 김명민 박희순 순이종석 8월23일대개봉 대의'.","June 01, 2020"
683,"Photo by SongJoongKi💪🏻💪🏻Songhyekyo💪🏻💪🏻 on August 08, 2020. 이미지: 사람 1명, 근접 촬영.","August 08, 2020"
684,"🙆🙆🙆🙆😚
.
.
.
#kimjiwonactress  #kjw #김지원 #KimJiWon #geewonii #金智媛 #キムジウォン #태양의후예 #쌈마이웨이 #dots #decendantsofthesun #fightformyway #ffmw  #아스달연대기 #상속자들 #koreandrama #theheirs #dramakorea #drakorindo #미스터션샤인 #mrsunshine #송중기 #장동건 #박서준 #gapdong @geewonii #asadalchronicles #ArthdalChronicles #TheChroniclesOfAseudal #koreandrama #dramakorea #ActressKimJiWon #Detektivek3",
685,"Photo by 외로운 방구석 리뷰어 on March 12, 2020. 이미지: 사람 1명 이상, 전화, 실외.","March 12, 2020"
686,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 03, 2020 tagging @kimokvin, @netflix, @tvn_joy, @netflixkr, @geewonii, and @tvndrama.official. 이미지: 사람 18명.","March 03, 2020"
687,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on February 17, 2020. 이미지: 사람 5명.","February 17, 2020"
688,"~ ⚔️
Kim Ji Won as Niruha Tanya for Arthdal Chronicles",
689,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on June 08, 2020 tagging @netflix, @netflixkr, and @tvndrama.official. 이미지: 문구: 'Arthdal the Chronicles timein watch again for case still missed something watch new kdramas to catch up with the latest updates'.","June 08, 2020"
690,"Photo by 검은콩🐾_콩이🐶 2011.10 #미니핀  #콩이 on August 07, 2020. 이미지: 개.","August 07, 2020"
691,"キラッ✨キラ✨✨スンホ二😍💕💕 호화 한류 스타 멋집니다💖💖💖💖
韓流フォーカード
from https://youtu.be/dSBAbA_caNA
.
#이병헌 #장동건 #원빈
#송승헌  #songseungheon
#ソンスンホン
@songseungheon1005

From @ari.k7531",
692,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 16, 2020 tagging @netflixkr, and @tvndrama.official. 이미지: 사람 3명, 문구: 'JANUARY 2020 FEBRUARY MARCH APRIL MAY JUNE JULY AUGUST SEPTEMBER OCTOBER NOVEMBER DECEMBER 11121314151617 25262728293031'.","May 16, 2020"
693,"⠀
⠀
⠀
#애미의신난목소리주의
⠀
장동건 노즈워크 도착!!
1단계 사주면서 너무 쉽게 찾아먹음 어쩌나
걱정하며 샀는데..... 너란 남자..🤷‍♀️🤷
⠀
이 동영상 다 찍고 껐는데
안 나오니까 짖고 난맄ㅋㅋㅋㅋㅋㅋㅋㅋ
⠀
언젠간 익히게찌... 그래도 첨인데 아구 잘해따 내시키😍
⠀
#루하몰 #노즈워크 #강아지그램 #장동건
#새로운장난감 #흘리지말고먹어 #짖지마 #즐겨줘제발
#11살 #노견 #스트레스완화 
#간식좀제발그냥줘 #애미년아!! #짜증주의🤬",
694,"아무리 봐도 날씨가 기억나지 않음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
⠀
⠀
#강동원 #기상캐스터
#존잘 #영화배우 #훈남",
695,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on June 17, 2020 tagging @salt_ent, @netflixkr, @geewonii, @jiwonbr, @tvndrama.official, and @historydnc. 이미지: 사람 1명, 고양이, 문구: 'EUNSEOM TANYA SAYA JIWONBR'.","June 17, 2020"
696,"{ NEW }
Kim Ji Won for @nongshim CF Making Film
@geewonii as Tanya for Arthdal Chronicles / See you next season 2
Credit; @salt_ent",
697,"Photo shared by 예쁘고날씬하게보름만에꿀몸매지은쌤 on February 19, 2020 tagging @ji_eun0921. 이미지: 사람 1명, 문구: '인사이트 송중기X장동건 전쟁 예고하며 끝났던 '아스달 연대기', 새 시즌으로 돌아온다 tvN '아스달 연대기''.","February 19, 2020"
698,"Photo by ARTHDAL CHRONICLES 아스달연대기 on February 19, 2020. 이미지: 사람 1명, 근접 촬영.","February 19, 2020"
699,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 23, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 9명, 실외.","March 23, 2020"
700,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on July 06, 2020 tagging @kidohun, @netflixkr, @geewonii, and @tvndrama.official. 이미지: 사람 4명, 문구: 'IG ARTHDALCHRONICLES'.","July 06, 2020"
701,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on April 22, 2020 tagging @kidohun. 이미지: 사람 1명.","April 22, 2020"
702,"Photo by 吉場正和 on March 11, 2020. 이미지: 사람 1명, 근접 촬영.","March 11, 2020"
703,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on June 03, 2020. 이미지: 사람 1명, 말, 실외, 텍스트.","June 03, 2020"
704,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on June 11, 2020 tagging @kimokvin, @netflix, @salt_ent, @netflixkr, @geewonii, @tvndrama.official, and @historydnc. 이미지: 사람 10명, 텍스트.","June 11, 2020"
705,"#차은우 #야바위 개인기 도전 1일차
ㅋㅋㅋㅋㅋ
이거 ....되는건가??? ㅋㅋㅋㅋㅋㅋ
.
.
#model #genius #장동건 #도박사 #웰시코기 #welshcori #corgi #corgistagram #corgilove #코기빌",
706,"Photo by 성민하 on September 07, 2020. 이미지: 사람 1명, 서 있음.","September 07, 2020"
707,"Photo shared by Drama World on July 29, 2020 tagging @phs1116. 이미지: 사람 1명, 문구: 'People go through a lot of mistakes to change. Go Yeon Woo Suits Kdramaworld_club'.","July 29, 2020"
708,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on May 20, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 3명, 서 있는 사람들, 텍스트.","May 20, 2020"
709,"불펌금지🤍
#스타의체력관리 #장동건 #팔굽혀펴기 #가수장동건 #1993년 #운동회 #팔굽혀펴기대결 #운동스타",
710,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 02, 2020 tagging @nylonkorea, @kidohun, and @agencytouch_official. 이미지: 사람 1명.","March 02, 2020"
711,"Photo by 카페마이뉴질랜드 on August 21, 2020. 이미지: 문구: '코로나 19 바이러스 안심하고 방문하세요 저희 매장은 깨끗한 위생관리를 위하여 매일 소독을 실시하고 있습니다.'.","August 21, 2020"
712,"Photo by 홍콩 스쿨 on August 18, 2020. 이미지: 사람 1명 이상, 서 있는 사람들, 문구: '힙 BEAT 하 단 홍 콩 CAFFE PIAZZA CAFFE LATTE CAPPUCCINO 쿨'.","August 18, 2020"
713,"Photo by 쑤마일쌤 on May 26, 2020. 이미지: 사람 3명, 텍스트.","May 26, 2020"
714,"@geewonii Support Message on MBC Radio, SALT Ent Channel V Live App & YouTube [PART 3]
• https://youtu.be/rKGb3BuQG1w
_
#김지원 #KimJiWon #geewonii #金智媛 #キムジウォン #태양의후예 #쌈마이웨이 #decendantsofthesun #fightformyway #아스달연대기 #ArthdalChronicles #상속자들 #theheirs #미스터션샤인 #mrsunshine #송중기 #장동건 #박서준 #parkseojoon #seowoncouple #songjoongki #김옥빈 #goowoncouple",
715,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 13, 2020 tagging @bk_arta. 이미지: 사람 1명, 문구: 'Studio Space L bk_arta'.","May 13, 2020"
716,"Photo by maruosama on February 14, 2020. 이미지: 사람 4명, 근접 촬영.","February 14, 2020"
717,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 29, 2020. 사진 설명이 없습니다..","March 29, 2020"
718,"김태규트레이너의 미국탐방기4탄
사우스플로리다 대학과 뉴썸하이스쿨방문기 
프로필링크 블로그에서 만나보실 수 있습니다.
.
⚾️야구선수트레이닝
⛳골프선수트레이닝
⛳골프트레이닝
⛳골프필라테스/필라테스
🎖선수트레이닝
🏸다이어트/건강증진
.
.
#Tne트레이닝
#tne스포츠
#baseballtraining
#baseball
#야구트레이닝
#야구레슨
#투수레슨
#타자레슨
#장타자
#슬레이드
#golf
#golftraining
#선수트레이닝
#training
#달리기레슨
#구속증가
#비거리증가
#김태규트레이너
#육상레슨
#imgacademy
#야구
#야구선수
#장동건
#img캠프
#다이어트
#구속증가
#퍼포먼스트레이닝",
719,"Photo by @ah_mollang on August 25, 2020. 이미지: 개, 실외.","August 25, 2020"
720,"Photo by ネムイ on May 26, 2020. 이미지: 사람 4명, 앉아 있는 사람들.","May 26, 2020"
721,"Photo by beautiful_love on August 16, 2020. 이미지: 사람 5명.","August 16, 2020"
722,"Photo by 낭만곰♡특별활동 on March 04, 2020. 이미지: 사람 2명, 문구: '우린 반드시 살아서 돌아가야 해 태극가 취발리 명'.","March 04, 2020"
723,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 22, 2020 tagging @salt_ent, @netflixkr, @geewonii, @tvndrama.official, and @historydnc. 이미지: 사람 2명, 근접 촬영, 문구: 'Eunseom. Tanya. -I'm coming coming for you. you. -I'm coming for you.'.","May 22, 2020"
724,"Photo by 韓国俳優専用 on June 18, 2020. 이미지: 사람 3명, 근접 촬영.","June 18, 2020"
725,"Still waiting for your next drama♥️, See you next season everyone♥️😇
@arthdalchronicles_ind #아스달연대기 #송중기 #장동건 #김지원 #김옥빈
#songjoongki #kimjiwon #jangdonggun #kimokvin #ArthdalChronicles #kdrama #ParkHaeJoon #KidoHoon #GoBoGyeol #AhnHyeWon #ElenaAn #HwangHee #2PMNichkhun #BlackPinkJisoo #KimJisoo #JoByeongKyu #JungJaeWon #ChooJaHyun #YooTeo #에리카카라카 #ErikaKarata #NetflixArthdalChronicles",
726,Those smiles! 😍,
727,"Photo by ROCFIT 로크핏 on July 25, 2020. 이미지: 사람 1명, 근접 촬영.","July 25, 2020"
728,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on June 16, 2020 tagging @nongshim, @salt_ent, and @geewonii. 이미지: 사람 1명, 실외.","June 16, 2020"
729,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on August 02, 2020 tagging @kimokvin, @netflix, @netflixkr, @geewonii, @tvndrama.official, @theswoonnetflix, and @historydnc. 이미지: 사람 4명, 서 있는 사람들, 문구: '6월 1일 매주 [토 tvN 첫방송 밤 9 1 大 ರ news 1'.","August 02, 2020"
730,Song Joong Ki — Teaser Video 2 😍,
731,"Photo by 말티 B͛σиggυ ♡ 푸들 D͛αℓgυ on August 02, 2020. 이미지: 개, 식물, 실외.","August 02, 2020"
732,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on May 31, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 1명, 서 있음.","May 31, 2020"
733,"Photo by 두공쥬님맘💗별뚱맘(KOREA 🇰🇷)👨‍👩‍👧‍👧💓🐩🐩 on February 18, 2020. 이미지: 사람 2명, 텍스트.","February 18, 2020"
734,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on May 31, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 1명, 셀카, 근접 촬영.","May 31, 2020"
735,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on June 11, 2020. 이미지: 사람 4명, 문구: '명 Arthdal Chronicles season 2 will be postponed indefinitely due to the COVID-1 19 pandemic source: 매일경제, 스포츠동아, 스포티비뉴스, YTN @kim. gwnii'.","June 11, 2020"
736,"Photo by 임보미 on April 26, 2020. 이미지: 앉아 있는 사람들, 테이블, 음식.","April 26, 2020"
737,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 13, 2020. 이미지: 구름, 하늘, 산, 실외, 자연.","March 13, 2020"
738,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on April 20, 2020. 이미지: 사람 7명, 텍스트.","April 20, 2020"
739,"이런 형제가 어딨어ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ반친구들 환호성 뭐임ㅋㅋㅋㅋ
.
.
.
.
.
.
.
.
.
#드라마 #레디고 #원빈 #장동건 #형제 #가족 #가족애 #형 #동생 #배우 #훈훈 #현실 #비현실 #짤 #짤방 #동영상 #드라마추천 #직딩 #학생 #유머 #웃짤 #옛날드라마 #드라마스타그램 #유머스타그램 #공감 #이야기 #썰 #유머짤 #친구랑 #공유",
740,#크라운구스 #crowngoose #신혼침구 #호텔침구 #신혼이불 #예단이불 #침구세트 #혼수 #결혼 #홈스타그램 #집스타그램 #집꾸미기 #장동건 #고소영 #인테리어 #웨딩 #오늘의집 #구스이불 #구스토퍼 #크라운구스파티 #김태진,
741,"Photo by 🍑ˢ ᴱ ᵁ ᴸ🍑 on June 25, 2020. 이미지: 사람 3명, 텍스트.","June 25, 2020"
742,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on April 16, 2020 tagging @eunah_willbeloved, and @geewonii. 이미지: 사람 3명.","April 16, 2020"
743,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 14, 2020 tagging @arthdalchronicles, @arthdalchroniclesofficial, @arthdalchronicles0fficial, and @arthdalchroniclesfp. 이미지: 사람 2명, 텍스트.","March 14, 2020"
744,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 19, 2020. 이미지: 사람 1명, 문구: 'IG ARTHDALCHRONICLES ARTHD gonahyimam liked your photo.'.","May 19, 2020"
745,"Photo by 민간구급차 on March 02, 2020. 이미지: 개, 모자.","March 02, 2020"
746,"Photo by 문비버 on February 17, 2020. 이미지: 사람 1명 이상, 문구: '""어떻게 해야 돼?"" ""너 잡으려면, 못 가게 하려면 어떻게 해야돼""'.","February 17, 2020"
747,"Photo by ARTHDAL CHRONICLES 아스달연대기 on May 02, 2020. 이미지: 사람 1명, 턱수염.","May 02, 2020"
748,"Photo by 외로운 방구석 리뷰어 on March 10, 2020. 이미지: 사람 2명, 앉아 있는 사람들, 서 있는 사람들, 턱수염, 실외, 자연.","March 10, 2020"
749,"Photo by freelucent on February 19, 2020. 이미지: 사람 1명, 근접 촬영.","February 19, 2020"
750,"Photo by 322 on April 21, 2020. 사진 설명이 없습니다..","April 21, 2020"
751,"Photo by 닝닝_중국어 동시통역사 on March 14, 2020. 사진 설명이 없습니다..","March 14, 2020"
752,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on June 01, 2020 tagging @_parkjiwon___. 이미지: 사람 2명.","June 01, 2020"
753,"Photo by 쩨이비 on June 12, 2020. 이미지: 사람 8명.","June 12, 2020"
754,"#Arthdal_Chronicles #ArthdalChronicles #아스달_연대기 #아스달연대기 #SongJoongki #Song_Joongki #송중기 #송_중기 #KimJiwon #Kim_Jiwon #김지원 #김_지원 #JangDonggun #Jang_Donggun #장동건 #장_동건 #KimOkvin #Kim_Okvin #김옥빈 #김_옥빈
#kdrama #k_drama
2019",
755,"Photo by 🌕 on June 30, 2020. 이미지: 사람 1명, 문구: '비주얼 비주얼블록버스터 천빈·장동게 중이가 좋아하는 남자 식습관 MBC VOD 궁금 평소에 만나면 월 하세요?'.","June 30, 2020"
756,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on August 23, 2020 tagging @choo.jahyun. 이미지: 사람 1명.","August 23, 2020"
757,"Repost from @kimokvin_fan_id 💕
Kim Ok Vin Instagram Live July 18, 2020. She loves the sunset 🌅 How about you!","July 18, 2020"
758,"#장동건 #박채림 #이브의모든것 
#張東健 #朴蔡琳
 #allabouteve #allaboutevekdrama #jangdonggun #chaerim #mbckorea #korea #kdrama #koreandrama #kdramascenes #drakor #drakorindo #bias #mbcdrama#mbc #viral",
759,"-
ARTHDAL CHRONICLES IS COMING 🔥.",
760,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on July 25, 2020 tagging @kimokvin, @salt_ent, @kidohun, @netflixkr, @geewonii, @tvndrama.official, and @historydnc. 이미지: 문구: 'arthdal.b ROAD TO ARTHDAL TO THE END OF WHAT IS LONG To THE BOTTOM OF WHAT IS DEEP DEEP JUNE 27, 2020 12PM KST MORE INFORMATION AVAILABLE BELLOW 4990271 95727 SA CINEMA'.","July 25, 2020"
761,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 27, 2020. 사진 설명이 없습니다..","March 27, 2020"
762,"Photo by @ah_mollang on March 29, 2020. 이미지: 개, 실외.","March 29, 2020"
763,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on June 16, 2020 tagging @geewonii, and @makeheal_official. 이미지: 사람 1명, 문구: 'MAKEheal X lalavla 30% 07 메이크힐 원피엘 엘파운데이저 #커버 속력 #파데 #김지원파데 #히트 상품 20,000+ 19,600원 19,600원 08 메이크힐 30% 원피엘 따운데이저 앰플 글로우 #블링 촉파데 oa #파운데이션추천#베 #베이스 90000+ 19,600'.","June 16, 2020"
764,"#Arthdal_Chronicles #ArthdalChronicles #아스달_연대기 #아스달연대기 #SongJoongki #Song_Joongki #송중기 #송_중기 #KimJiwon #Kim_Jiwon #김지원 #김_지원 #JangDonggun #Jang_Donggun #장동건 #장_동건 #KimOkvin #Kim_Okvin #김옥빈 #김_옥빈
#kdrama #k_drama
2019",
765,"Photo by 케이드라마 kdrama alwayss on February 13, 2020. 이미지: 사람 5명.","February 13, 2020"
766,"Photo by @ah_mollang on May 31, 2020. 이미지: 개, 실외.","May 31, 2020"
767,Photo by 롯데시네마 영등포 in 롯데시네마 영등포관. 이미지: 사람 3명.,
768,"Photo by CR.SEA on May 18, 2020. 이미지: 사람 2명, 문구: '이브의 모두 All About Eve'.","May 18, 2020"
769,"Photo by 프리서치 on August 30, 2020. 이미지: 사람 2명, 텍스트.","August 30, 2020"
770,"Photo by jin.k on March 17, 2020. 이미지: 사람 7명, 텍스트.","March 17, 2020"
771,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 13, 2020. 이미지: 사람 1명, 서 있음, 실외.","May 13, 2020"
772,"Photo by 김은혜 on February 12, 2020. 이미지: 문구: 'tvN 측 ""아스달 연대기' 시즌2 올 하 반기 목표로 준비 중""[공식입장] 본문듣기 설정 기사입력 2020.02.13. 오후 1:52 공감 가가 [스포티비뉴스=강효진 기자] tvN 드라마 '아스달 연 대기'가 시즌2로 돌아올 전망이다. tvN 측 관계자는 13일 오전 스포티비뉴스에 ""아스달 연대기 시즌2는 올 하반기 크랭크인 목표로 준비 중 이다""라며 ""정화한 시기 밀 감독 배우 등은 모두 노'.","February 12, 2020"
773,"Photo shared by ARTHDAL CHRONICLES INDONESIA on July 15, 2020 tagging @yejunekim, @geewonii, and @historydnc. 이미지: 사람 4명, 텍스트.","July 15, 2020"
774,"Nah, disini nih Sunmin paling suka, 🙈🙈 .
Summi udah boongin Sunbae, tapi ga nyangka kan ampe nangkring depan rumahnya 🤣🤣🤣🤣
.

Ada yang pernah ngalamin gaes?😜😜 .

#장동건 #박채림 #이브의모든것 
#張東健 #朴蔡琳
 #allabouteve #allaboutevekdrama #jangdonggun #chaerim #mbckorea #korea #kdrama #koreandrama #kdramascenes #happy #couple#together #drakor #drakorindo #bias #mbcdrama#mbc #viral",
775,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on April 30, 2020 tagging @kimokvin. 이미지: 사람 4명, 서 있는 사람들, 문구: '2 DRAMA REAL'.","April 30, 2020"
776,"Photo by ❤ 你来了一下子 却改变了我一辈子。 on January 29, 2020. 이미지: 사람 1명 이상, 서 있는 사람들.","January 29, 2020"
777,"25살 전지현, 34살 장동건, 33살 정우성
지오다노 광고현장 .
.
.
#지오다노#전지현#정우성#장동건",
778,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 18, 2020. 이미지: 사람 3명, 문구: 'IG RTHDALCHRONICLES choseongha_ liked your post.'.","May 18, 2020"
779,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on February 27, 2020 tagging @netflix, @tvn_joy, @netflixbrasil, @netflixkr, and @tvndrama.official. 이미지: 사람 2명, 문구: ''사랑불' 양경원 ""아스달' 시즌2도 기대돼, 와한족 응 원하겠다""[인터뷰 기사승인 2020 02 27 08:00 SPOT NEWS IG| IG ARTHDALCHRONICLES'.","February 27, 2020"
780,"#붐
#붐붐파워
#장동건
#너에게로_가는길
#하트
#하튜
#붐민호
#사랑애",
781,"Photo by @kdrama__review on April 21, 2020. 이미지: 사람 6명, 문구: '아스달 연대기 드라마 15세이상 1상 편성 tvN 2019.06.01. 2019.09.22 18부작 사이트 공식홈 시청률 7.7% 닐슨코리아 최고시청률 Φ人E 연cদদা 다시보기 TV연예 456 TALK 568,895 기본정보 구독 42,926 공식영상 회차정보 등장인물 시청률'.","April 21, 2020"
782,"Photo by 뽀롱뽀롱 끄적끄적 on June 16, 2020. 이미지: 자동차, 실외.","June 16, 2020"
783,"#장동건 #박채림 #이브의모든것 
#張東健 #朴蔡琳
 #allabouteve #allaboutevekdrama #jangdonggun #chaerim #mbckorea #korea #kdrama #koreandrama #kdramascenes #happy #couple#together #drakor #drakorindo #bias #mbcdrama#mbc #viral",
784,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 06, 2020 tagging @choo.jahyun. 이미지: 사람 2명, 앉아 있는 사람들, 문구: '的 choo.jahyun'.","May 06, 2020"
785,"Photo by 해리&샐리&하찌&헨리&그루트&용식이 on May 29, 2020. 이미지: 앉아 있는 사람들.","May 29, 2020"
786,"Photo by Kim Ji Won (L)
김지원 on May 20, 2020. 이미지: 사람 1명.","May 20, 2020"
787,"See you next season 2, Niruha Tanya💕",
788,"Photo by 이필민 on June 06, 2020. 이미지: 사람 1명, 서 있음, 구름, 하늘, 실외, 자연.","June 06, 2020"
789,"Photo by Sooji Noh on May 28, 2020. 이미지: 사람 9명, 어린이.","May 28, 2020"
790,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on April 16, 2020 tagging @gobogyeol. 이미지: 사람 2명, 서 있는 사람들, 나무, 실외, 문구: 'L L gobogyeol'.","April 16, 2020"
791,"~ Yangcha is perfect!
See you next season 2 of Arthdal Chronicles
🎥 @sky.xvs",
792,"Photo by @eun._.zee_ on August 15, 2020. 사진 설명이 없습니다..","August 15, 2020"
793,"Photo by RαŸ on February 10, 2020. 이미지: 사람 4명, 신발, 정장.","February 10, 2020"
794,"Photo by ❤ 你来了一下子 却改变了我一辈子。 on April 05, 2020. 이미지: 사람 2명, 서 있는 사람들, 텍스트.","April 05, 2020"
795,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 24, 2020 tagging @marieclairekorea, and @bk_arta. 이미지: 사람 2명, 근접 촬영, 문구: '5 mari marieclaire claire'.","March 24, 2020"
796,"Photo shared by ARTHDAL CHRONICLES INDONESIA on July 09, 2020 tagging @kimokvin, @arthdalchronicles, @geewonii, and @arthdalchroniclesofficial. 이미지: 사람 1명, 서 있음, 결혼식.","July 09, 2020"
797,#친구들과 지낸 시절이 그립구나 #친구 #유오성 #장동건 #한국영화 #부산 #달리기 #아부지머하시노 #니가가라하와이 #마이무따아이가,
798,"Photo by ARTHDAL CHRONICLES 아스달연대기 on March 11, 2020. 이미지: 사람 1명.","March 11, 2020"
799,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on April 15, 2020. 이미지: 사람 8명, 재미있는 이미지, 문구: 'Eunseom Tagon Tanya ARTHDALCHRONICLES CLES EL ELMNAEH Taealha Saya Moobaek Yangcha Noonbyul Karika'.","April 15, 2020"
800,"Photo by ユミ on May 25, 2020. 이미지: 사람 4명.","May 25, 2020"
801,"Photo by ❤ 你来了一下子 却改变了我一辈子。 on March 06, 2020. 이미지: 사람 1명, 서 있음, 텍스트.","March 06, 2020"
802,"~ Children curious!!😁♥️
My Favorite Scene (Ep.18)
< Niruha Tanya save children >
🎥 https://www.youtube.com/watch?v=t2weG_p7gXA",
803,"Starring Hyun Bin and Jang Dong Gun. 
RAMPANT is now available on iTunes!

#HyunBin #현빈 #JangDongGun #장동건 #RAMPANT

#Repost @wellgousa
・・・
From the creators of TRAIN TO BUSAN - RAMPANT is set in ancient Korea, where murderous creatures known as Night Demons are on a bloody rampage. FOLLOW LINK IN BIO TO #WatchNow #TrainToBusan #HorrowMovies #Zombies #Movie #InstaWatch #Rampant #WellGoUSA #quarentineandchill",
804,"Photo shared by Lil’ Barbershop 김정용 on May 19, 2020 tagging @ji_hhyuni. 이미지: 사람 1명 이상, 음료, 실내.","May 19, 2020"
805,#마지막승부 #김성훈 #김준위 #신주초 #양산갑 #경남양산 #손지창 #장동건 #대방1차아파트,
806,"아스달 주인공들
@geewonii 
#김지원#송중기#장동건  #kimjiwon #배우",
807,"Photo by @kdramaquotes__ on March 31, 2020. 이미지: 사람 1명, 텍스트.","March 31, 2020"
808,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on April 28, 2020 tagging @geewonii. 이미지: 사람 2명, 문구: 'some people are e,meant to fall in love with each other... But not meant to be together..'.","April 28, 2020"
809,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 24, 2020 tagging @b.dabinzzz. 이미지: 사람 2명, 문구: 'Before IG ARTHDALCHRONICLES N LC After'.","March 24, 2020"
810,"~ So cute and perfect!😍
Kim Ok Vin as Queen Taealha for Arthdal Chronicles!
Can’t wait for season 2!! I’m so excited!!
.
🎥 @kimokvin_fan_id 
Queen Taealha winked 😉",
811,"kalo dipikir pikir, Woo Jin Oppa ganteng juga. tapi Sunmin males mikir😎😎😎
.
.
.
#장동건 #박채림 #이브의모든것 
#張東健 #朴蔡琳
 #allabouteve #allaboutevekdrama #jangdonggun #chaerim #mbckorea #korea #kdrama #koreandrama #kdramascenes #drakor #drakorindo #bias #mbcdrama#mbc #viral",
812,"Photo by 뉴스킨 윤영애 on July 18, 2020. 이미지: ‎하늘, 실외, ‎문구: '‎정 선버스터미널 n ي WAWABUS WAWABUS WAWABUS‎'‎‎.","July 18, 2020"
